Date,Location,Operator,Aircraft_Type,Registration,Fatalities,Total_Onboard,Ground_Fatalities
1947-05-29,"Atsugi, Japan",Military - U.S. Army Air Forces,Douglas C-54D-DC (DC-4),42-72553,40,40,0
1947-05-29,"Hjedinsfjordur, Iceland",Flugefelag,Douglas DC-3,TF-ISI,25,25,0
1947-05-30,"Port Deposit, Maryland",Eastern Air Lines,Douglas C-54B-15-DO,NC88814,53,53,0
1947-06-04,"Near Gemenos, France",Air France,Junkers Ju-52,F-BANB,2,2,0
1947-06-11,"Near Natal, Brazil",Flota Aérea Mercante Argentina,Avro 691 Lancastrian,LV-ACS,5,18,0
1947-06-13,"Leesburg, Virginia",Pennsylvania Central Airlines,Douglas DC-4 (C-54-DO),NC88842,50,50,0
1947-06-19,"Al Mayadin, Syria",Pan American World Airways,Lockheed 049-46-21 Constellation,NC88845,14,36,0
1947-06-21,"Black Sea, Gulf of Karkinitsky",Aeroflot,Li-2,CCCP-L4138,8,29,0
1947-07-01,"Near Eaeka, French Cameroons",Air France,Junkers JU-52/3m,F-BALF,13,13,0
1947-07-13,"Melbourne, Florida",Burke Air Transport,Douglas DC-3,NC79024,14,36,0
1947-07-15,"Vichy ,France",Aero Cargo,Junkers Ju-52/3m,F-BCHH,1,19,0
1947-07-16,"Az-Zubair, Iran",British Overseas Airways,Avro 685 York,G-AGMR,6,6,0
1947-07-25,"Moron, Argentina",Flota Aérea Mercante Argentina,Avro 685 York I,LV-XIH,2,6,2
1947-07-31,"Near Yumen, China",Military - Chinese Air Force,Douglas C-47,?,26,26,0
1947-08-02,"Andes, Argentina",British South American Airways,Avro 691 Lancastrian 3,G-AGWH,11,11,0
1947-08-06,North Pacific Ocean,Military - U.S. Navy,Consolidated PBY-5A Catalina,34032,20,20,0
1947-08-08,"New York, York",American Airlines,Douglas DC-3C,NX88787,3,5,0
1947-08-09,"Malmo, Sweden",AB Aerotransport,Douglas DC-3F,SE-BAY,1,5,0
1947-08-13,"Bucharest, Romania",Transporturile Aeriene Romano-Sovietice,Lisunov Li-2,YR-TAV,3,8,0
1947-08-21,"Hanksville, Utah",Slick Airways,Curtiss C-46E,NC59488,3,3,0
1947-08-23,"Bahrain, Persian Gulf",British Overseas Airways,Short Sandringham 5 (flying boat),G-AHZB,10,26,0
1947-08-28,"Harsiad, Norway",Norwegian Airlines,Short Sandringham (flying boat),LN-IAV,35,35,0
1947-10-08,"Near El Paso, Texas",American Airlines,Douglas DC-4,NC90432,0,54,0
1947-10-14,"Ocean, 800 miles east of Newfoundland",American International Airways,Boeing 314A,NC18612,0,69,0
1947-10-16,"Off Cartegena, Spain",Societe Aerienne du Littoral,Bristol 170 Freighter I,F-BCJN,41,43,0
1947-10-16,"Sylva, North Carolina",Stratofreight,Douglas DC-3,?,3,3,0
1947-10-24,"Bryce Canyon, Utah",United Air Lines,Douglas DC-6,NC37510,53,53,0
1947-10-26,"Near Mt. Hymettus, Greece",AB Aerotransport,Douglas DC-4-1009,SE-BBG,44,44,0
1947-10-26,"Annette Island, Alaska",Pan American World Airways,Douglas DC-4A,NC88920,18,18,0
1947-10-31,"Near Srinagar, India",Military - Royal Indian Air Force,Douglas C-47B,M965,25,25,0
1947-11-02,"Off Barrio Rizal, Philippines",Philippine Air Express,Douglas DC-3,?,5,5,0
1947-11-11,"Gallup, New Mexico",American Airlines,Douglas DC-6,NC90741,0,25,0
1947-11-13,"Near Bouchox, France",Société Auxiliare de Navigation Aérienne,Junkers Ju-52/3m,F-BDYH,2,2,0
1947-11-18,"Newcastle, Delaware",Trans Continental and Western Air,Lockheed L-049-46-26 Constellation,NC86507,5,5,0
1947-11-18,"Ravello, Italy",Trafik-Turist-Transportflyg,Bristol 170 Freighter XI,SE-BNG,20,25,0
1947-11-21,"Phouznicie, Romania",TARS,Lisunov Li-2,YR-TAI,13,26,0
1947-11-27,?,China National Aviation Corporation,Douglas DC-3,?,2,3,0
1947-11-27,"Yakutat, Alaska",Columbia Air Cargo,Douglas DC-3C,NC95486,13,13,0
1947-11-27,"Montenegrin Mountains, Yugoslavia",JAT Yugoslav Airlines,Lisunov LI-2,YU-BAD,22,22,0
1947-11-28,"Near Trappa, Italy",Military - U.S. Air Force,Douglas C-47B,43-48736,20,20,0
1947-11-30,"Seattle, Washington",Alaska Airlines,Douglas C-54A,NC-91009,8,28,1
1947-12-10,"Near Goose Bay, Labrador",Military - U.S. Air Force,Douglas C-54D-DC (DC-4),42-72572,23,29,0
1947-12-11,"Near Memphis, Tennessee",Military - U.S. Air Force,Douglas C-47-DK,44-76366,20,20,0
1947-12-18,"Krasnoyarsk, Russia",Aeroflot,Ilyushin IL-12,CCCP-L1343,9,25,0
1947-12-23,"Kunming, China",Air Transport,Short S-29 Stirling V,OO-XAC,25,30,0
1947-12-27,"Korangi Creek, India",Air India,Douglas DC-3 (C-47),VT-AUG,23,23,0
1947-12-28,"Leon, Mexico",Servicio Aéreo Panini,Douglas DC-2-172,XA-GEE,5,10,3
1948-01-06,"Paris, France",Air France,Douglas DC-3D,F-BAXC,16,16,0
1948-01-06,"Ruislip, England",British European Airways,Vickers 610 Viking 1B,G-AHPK,1,18,0
1948-01-07,"Near Savannah, Georgia",Coastal Air Lines,Douglas DC-3,N60331,18,27,0
1948-01-08,"Near Palestro, Algeria",Transport Comp. Algerienne de T.A.,Douglas DC-3,F-BDLG,9,9,0
1948-01-11,"Ciudad Havajillo, Dominican Republic",Dominicana,Douglas DC-3,HI-6,32,32,0
1948-01-13,"Oxon Hill, Maryland",Eastern Air Lines,Douglas DC-3-201F,NC28384,5,9,0
1948-01-20,"Near Mukden, China",China National Aviation Corporation,Curtiss C-46,?,11,54,0
1948-01-28,"Diablo Mts., California",Airline Transport Carriers,Douglas DC-3 (C-47B-DK),NC36480,32,32,0
1948-01-30,"Atlantic Ocean, NE of Bermuda",British South American Airways,Avro 688 Tudor I,G-AHNP,31,31,0
