Date,Location,Operator,Aircraft_Type,Registration,Fatalities,Total_Onboard,Ground_Fatalities
1977-05-10,"Near Jericho, Jordan",Military - Israel Air Force,Sikorsky CH-53D (helicopter),360,54,54,0
1977-05-13,"Beiruit, Lebanon",LOT Polish Airlines,Antonov An-12BP,SP-LZA,9,9,0
1977-05-14,"Near Lusaka, Zambia",IAS Cargo,Boeing 707-321C,G-BEBP,6,6,0
1977-05-16,"New York, York",New York Helicopter,Sikorsky S61L,N619PA,4,25,1
1977-05-27,"Havana, Cuba",Aeroflot,Ilyushin IL-62M,CCCP-86614,67,69,0
1977-06-03,"Natal, Brazil",Military - Brazilian Air Force,Embraer C-95 Bandeirante,FAB2157,18,18,0
1977-06-20,"Salto-Nueva Hesperides, Uruguay",Fuerza Aérea Uruguaya,Embraer 110C Bandeirante,CX-BJE,12,15,0
1977-06-21,Off Wake Island,Military - U.S. Navy,Lockheed EC-130Q,156176,16,16,0
1977-07-06,"Saint Louis, Missouri",Fleming International Airways,Lockheed L-188AF Electra,N280F,3,3,0
1977-07-08,"Off Kirovograd, Ukraine",Aeroflot,Antonov AN-24,CCCP-46847,6,7,0
1977-07-14,"Near Cuangar, Angola",Military - Angolan Air Force,Antonov AN-26,?,30,30,0
1977-07-20,"Jima, Ethiopia",Ethiopian Airlines,Douglas DC-3,ET-ABF,5,5,0
1977-07-20,"Vitim, Russia",Aeroflot,Ilyushin IL-14M,CCCP-52096,40,40,0
1977-07-24,"Near Puerto Montt, Chile",Military - Chilean Air Force,Douglas DC-6B,FAC-989,38,82,0
1977-07-25,"Near Yoro, Honduras",Military - Honduran Air Force,Douglas C-47,FAH-301,25,40,0
1977-08-01,"Encino, California",Private KNBC Los Angeles,Bell 206B JetRanger,N4TV,2,2,0
1977-08-20,"San Jose, Costa Rica",Monarch Aviation,Convair CV-880,N8817E,3,3,0
1977-08-25,"Kona, Hawaii",Island Airways,Shorts SC-7 Skyvan 3-200,N4917,2,2,0
1977-09-02,Off Hong Kong,Transmeridian Air Cargo,Canadair CL-44D4-2,G-ATZH,4,4,0
1977-09-04,"Near Cuenca, Ecuador",Servicios Aereos Nacionales Airways,Vickers Viscount 764D,HC-BCL,33,33,0
1977-09-06,"Mt. Iliamna, Alaska",Alaska Aeronautical Industries,de Havilland Canada DHC-6 Twin Otter 200,N563MA,13,13,0
1977-09-08,"Mt. Loi Hsam Hsao, Burma",Burma Airways,de Havilland Canada DHC-6 Twin Otter 300,XY-AEH,19,19,0
1977-09-12,"Yakutat, Alaska",Safe Air Cargo,Douglas DC-7BF,N6314J,4,4,0
1977-09-14,"Near Albuquerque, New Mexico",Military - U.S. Air Force,Boeing - EC-135K,62-3536,20,20,0
1977-09-22,"Bucharest, Romania",Malev Hungarian Airlines,Tupolev TU-134,HA-LBC,29,53,0
1977-09-27,"Kuala Lumpur, Malaysia",Japan Air Lines,McDonnell Douglas DC-8-62H,JA-8051,34,79,0
1977-10-20,"Near Gillsburg, Mississippi",L & J Company,Convair CV-300,N55VM,6,26,0
1977-10-21,"Mindoro, Philippines",Military - U.S. Marine Corps,Sikorksky CH-53 (helicopter),157139,24,37,0
1977-11-03,"San Cristobal de las Casas, Mexico",Servicios Aereos Martinez Leon,Britten-Norman BN-2A-8 Trislander,XA-FUA,13,13,0
1977-11-19,"Near Funchal, Island of Madeira, Portugal",TAP (Air Portugal),Boeing B-727-282,CS-TBR,131,164,0
1977-11-19,"Rome, Italy",Ethiopian Airlines,Boeing 707-360C,ET-ACD,5,5,0
1977-11-21,"Near Bariloche, Argentina",Austral Lineas Aeras (Argentina),BAC One-Eleven 420EL,LV-JGY,46,79,0
1977-11-26,"Near Beziers, France",Military - French Air Force,Nord 2501 Noratlas,182,32,32,0
1977-12-02,"Near Al Bayda, Lebanon",Balkan Bulgarian Airlines,Tupolev TU-154B,LZ-BTN,59,165,0
1977-12-04,"Straits of Johore, near Kampung Ladang, Malaysia",Malaysia Airlines,Boeing B-737-2H6,9M-MBD,100,100,0
1977-12-08,"Intracostal City, Louisiana",Petroleum Helicopter,SNIAS SA330J,N4730S,17,19,0
1977-12-09,"Tarko-Saley, USSR",Aeroflot,Antonov AN-24,CCCP-47695,17,23,0
1977-12-11,"Hierro, Canary Islands",Military - U.S. Navy,Lockheed P-3B Orion,153428,13,13,0
1977-12-13,"Evansville, Indiana","National Jet Services Inc., (Air Indiana)",Douglas DC-3,N51071,29,29,0
1977-12-18,"Off Madeira, Portugal",SATA,Aerospatiale Caravelle 10R,HB-ICK,36,57,0
1977-12-18,"Near Salt Lake City, Utah",United Air Lines,Douglas DC-8-54F,N8047U,3,3,0
1977-12-19,"Vieques, Puerto Rico",Vieques Air Link,Britten-Norman BN-2A Islander,N862JA,5,10,0
1977-12-24,"Willemstad, Curacao, Netherlands Antilles",Valley Air Service,Piper PA-31-350 Navajo,N9164Y,10,10,0
1977-12-29,"Cuenca, Ecuador",Servicios Aereos Nacionales,Vickers Viscount 764 D,HC-BEM,24,24,0
1978-01-01,"Off Bandra, Maharashtra, India",Air India,Boeing B-747-237B,VT-EBD,213,213,0
1978-01-27,"Near San Vincente, Colombia",SADELCA,Douglas DC-3,HK-1351X,14,14,0
1978-01-31,"Eirunepe, Brazil",TABA,Embraer 110P Bandeirante,PT-GKW,2,14,0
1978-02-10,"Near Artigas, Uruguay",Uruguayan Air Force,Douglas C-47A-DL,T511,44,44,0
1978-02-10,"Richland, Washington",Columbia Pacific Airlines,Beechcraft 99,N199EA,17,17,0
1978-02-11,"Cranbrook, British Columbia, Canada",Pacific Western Airlines,Boeing B-737-275,C-FPWC,42,49,0
1978-02-28,"Solvang, California",Security Air,Aero Commander 500A,N6143X,7,7,0
1978-03-01,"LAX, Los Angeles, California",Continental Airlines,McDonnell Douglas DC-10-10,N68045,2,200,0
1978-03-02,"Kano, Nigeria",Nigeria Airways,Fokker F-28 Fellowship 1000 / MiG-21,5N-ANA ?,18,18,0
1978-03-03,"Off Caracas, Venezuela",LAV - Linea Aeropostal Venezolana,British Aerospace 748 2A,YV-45C,47,47,0
1978-03-16,"Vrastsa, Bulgaria",Balkan Bulgarian Airlines,Tupolev TU-134,LZ-TUB,73,73,0
1978-03-22,"Near Riverside, California",Lake Havasu Air,Cessna T207A,N7354U,6,6,0
1978-03-25,"Okaraba, Burma",Burma Airways,Fokker F-27 Friendship 200,XY-ADK,48,48,0
1978-04-04,"Off Galveston, Texas",Air Logistics,Bell 212,N140AL,3,6,0
1978-04-05,"St. Thomas, Virgin Islands",Antilles Air,Grumman G-21,N877A,2,9,0
1978-04-20,"Near Murmansk, Russia",Korean Airlines,Boeing B-707-321B,HL-7429,2,109,0
1978-04-29,"Bogota, Colombia",LAC Colombia,Douglas C-118A,HK-1705,8,12,0
1978-05-08,"Pensacola, Florida",National Airlines,Boeing B-727-235,N4744,3,58,0
1978-05-19,"Pochinok, Russia",Aeroflot,Tupolev TU-154B,CCCP-85169,4,134,0
1978-06-23,"Saint John's, Newfoundland",Gander Aviation,Beech Queen Air A80,C-GGAL,10,10,0
1978-06-26,"Off Bergen, Norway",Helikopter Service,Sikorsky S-61N,LN-OQS,18,18,0
1978-06-26,"Toronto, Canada",Air Canada,McDonnell Douglas DC-9-32,C-FTLV,2,107,0
1978-08-14,"Sogamoso, Bolivia",Aeropeca,Curtiss C-46,HK-1350,18,18,0
1978-08-26,"Papun, Burma",Burma Airways,de Havilland Canada DHC-6 Twin Otter 300,XY-AEI,14,14,0
1978-08-30,"Las Vegas, Nevada",Las Vegas Airlines,Piper PA-31-350 Chieftain,N44LV,10,10,0
1978-09-03,"Conakry, Guinea",Air Guinee,Ilyushin IL-18,3X-GAX,15,17,0
1978-09-03,"Coal Harbour, BC, Canada",AirWest Airlines,de havilland Canada Twin Otter 200,C-FAIV,11,13,0
1978-09-03,"Near Kariba, Rhodesia (Zimbabwe)",Air,Vickers Viscount 782D,VP-WAS,38,56,0
1978-09-09,"Wrangell, Alaska",Temesco Helicopter - Air Taxi,Soloy 12EJ3,N5384V,3,3,0
1978-09-09,"Near Mexico City, Mexico",Lineas Areas del Centro,de Havilland Canada DHC-6 Twin Otter 100,XA-BOP,18,21,0
1978-09-13,"Whittier, AK",Alaska Travel,de Havilland DHC-2,N37741,6,6,0
1978-09-14,"Paranaque, Philippines",Philippine Air Force,Fokker F-27 Friendship 200,PH-FKY,21,28,12
1978-09-25,"San Diego, California",Pacific Southwest Airlines / Private,Boeing B-727-214 / Cessna 172,N533PS/N7711G,137,137,7
1978-10-03,"Near Kuopio, Finland",Military - Finish Air Force,Douglas C-47A-1-DK,DO-10,15,15,0
1978-10-03,"Near Mandalay, Myanmar",Burma Airways,Fokker F-27 Friendship 600,XY-ADY,2,44,0
1978-10-06,"Santiago de Chile, Chile",Military - US Navy,Douglas R6D-1 (DC-6),131618,18,18,?
1978-10-07,"Sverdlovsk, Russia",Aeroflot,Yakovlev YAK-40,CCCP-87437,38,38,0
1978-10-08,"Kenai, Alaska",Era Helicopter - Air Taxi,Bell 205-1,N2215W,2,7,0
1978-10-22,"Off Bellona, Solomon Islands",Solomon Islands Airlines,Britten Norman BN-2A Trislander,H4-AAC,11,11,0
1978-10-23,"Gulf of Sivash, USSR",Aeroflot,Antonov AN-24B,CCCP-46327,26,26,0
1978-11-05,"Off Alexandria, Egypt",Nile Delta Air Services,Douglas DC-3,SU-AZM,18,18,0
1978-11-15,"Near Katunayake, Sri Lanka",Loftleidir Icelandic Airlines,McDonnell Douglas DC-8-Super 63CF,TF-FLA,183,262,0
1978-11-18,"Off Marie Galante Island, West Indies",Air Guadeloupe,de Havilland Canada DHC-6 Twin Otter 300,F-OGHD,15,20,0
1978-11-19,"Near Leh, India",Military - Indian Air Force,Antonov An-12,?,77,77,1
1978-11-21,"Near Rubio, Venezuela",Aereo el Venado,Douglas C-47A,HK-1393,27,27,0
1978-11-25,"Hydaburg, Alaska",Tyee Airlines,de Havilland DHC-2,N37906,5,5,0
1978-12-04,"Near Steamboat Springs, Coloado",Rocky Mountain Airways,de Havilland Canada DHC-6 Twin Otter 300,N25RM,2,22,0
1978-12-16,"Selvapiana, Italy",Air 70,Cessna 421 Golden Eagle,I-ASON,10,10,0
1978-12-17,"Hyderabad, India",Indian Airlines,Boeing B-737-2A8,VT-EAL,1,132,3
1978-12-23,"Off Cinisi, Sicily, Italy",Alitalia,McDonnell Douglas DC-9-32,I-DIKQ,108,129,0
1978-12-28,"Portland, Oregon",United Air Lines,McDonnell Douglas DC-8-61,N8082U,10,189,0
1979-01-15,"Minsk, Russia",Aeroflot,Antonov AN-24N,CCCP46807,13,13,0
1979-01-24,"Bechar, Algeria",Air Algerie,Nord 262A-44,7T-VSU,14,23,0
1979-01-27,"Rodez, France",Air Rouergue,Fokker F-27 Friendship 500,F-BYAH,5,6,0
1979-01-30,"125 miles ENE of Tokyo, Japan",Varig,Boeing B-707-326C,PP-VLU,6,6,0
1979-02-08,"Near Agudos, Brazil",TAM Lineas Aéreas Regional,Embraer 110C Bandeirante,PP-SBB,18,18,0
1979-02-12,"Near Kariba, Rhodesia",Air Rhodesia,Vickers Viscount 748D,VP-YND,59,59,0
1979-02-12,"Clarksburg, West Virginia",Allegheny Airlines,Nord 262,N29824,2,25,0
1979-02-17,"Manakau Harbor, New Zealand",Air Zealand,Fokker F-27 Friendship 500,ZK-NFC,2,4,0
1979-02-19,"Barentu, Ethiopia",Ethiopian Airlines,Douglas DC-3,ET-AFW,5,5,0
1979-03-01,"Gulfport, Mississippi",Universal Airways,Beech BE-70,N777AE,8,8,0
1979-03-10,"Off Marina del Rey, California",Swift Aire Lines Inc.,Aerospatiale Nord 262A-33,N418SA,3,7,0
1979-03-14,"Bejing, China",CAAC,Hawker Siddeley Trident 2E,B-274,12,12,32
1979-03-14,"Near Doha Airport, Qatar",Alia Royal Jordanian Airlines,Boeing B-727-2D3,JY-ADU,45,64,0
1979-03-17,"Near Moscow, Russia",Aeroflot,Tupolev TU-104B,CCCP-42444,58,119,0
1979-03-26,"Luanda, Angola",Interflug,Ilyushin IL-18D,DM-STL,10,10,0
1979-03-29,"Ste. Foy, PQ, Canada",Quebecair,Fairchild F-27,CF-QBL,17,24,0
1979-04-14,"Off Avalon, California",Catalina Airlines,Grumman G-21 Goose,N11CS,1,11,0
1979-04-18,"Newark, New Jersey",New York Airways,Sikorsky S61-L,N618PA,3,18,0
1979-04-23,"Near Cuenca, Ecuador",SAETA,Vickers Viscount 785D,HC-AVP,57,57,0
1979-05-25,"Bullen Point, Alaska",Sea Airmotive,de Havilland Canada DHC-4A Caribou,N581PA,3,3,0
1979-05-25,"Chicago O'Hare, Illinois",American Airlines,McDonnell Douglas DC-10-10,N110AA,271,271,2
1979-05-27,"Off Dakar, Senegal",Military - Mauritanian Air Force,de Havilland Canada DHC-5D Buffalo,5T-MAX,12,12,0
1979-05-30,"Rockland, Maine",Downeast Airlines,de Havilland DHC-6-200,N68DE,17,18,0
1979-06-07,"Near Leh, India",Military - Indian Air Force,Hindustan Aeronautics 748-2M,H2178,27,27,0
1979-06-17,"Hyannis, Massachusetts",Air New England,de Havilland Canada DHC-6 Twin Otter 300,N383EX,1,10,0
1979-07-11,"Near Medan Airfield, Indonesia",Garuda Indonesia Airlines,Fokker F-28 Fellowship 1000,PK-GVE,61,61,0
1979-07-12,"Bua, Fiji",Fiji Air Services,Britten Norman BN-2A Trislander,DQ-FBO,9,9,0
1979-07-12,"Anchorage, Alaska",Soldotna Air Services,Cessna 402B,N402TH,7,7,0
1979-07-23,"Beirut, Lebanon",Trans Mediterranean Airways,Boeing 707-327C,OD-AFX,6,6,0
1979-07-24,"St. Croix, Virgin Islands",Prinair,de Havilland DH-114 Heron,N575PR,8,21,0
1979-07-31,"Off Sumburgh, Shetlands, Scotland",Dan Air Services,Hawker Siddeley HS-748-1,G-BEKF,17,47,0
1979-08-02,"Canton, Ohio",Private,Cessna 501 Citation,N15NY,1,3,0
1979-08-03,"Leningrad, USSR",Aeroflot,LET 410M turbojet,CCCP-67206,14,14,0
1979-08-04,"Near Panvel, India",Indian Airlines,Hindustan Aeronautics 748 2-224,VT-DXJ,45,45,0
1979-08-11,"Near Volgograd, Russia",Aeroflot / Aeroflot,Tupolev TU-134A / Tu-134A,65735/65816,178,178,0
1979-08-24,"Near Enisseysk, USSR",Aeroflot,Antonov AN-12,CCCP-12963,11,16,0
1979-08-29,"Near Kirsanov, Russia",Aeroflot,Tupolev TU-124,CCCP-45038,63,63,0
1979-09-03,"Andema, Russia",Aeroflot,Antonov AN-24,CCCP-46269,40,44,0
1979-09-11,"Off Taipei, Taiwan",China Airlines (Taiwan),Boeing 707-324C,B-1834,6,6,0
1979-09-14,"Near Klamath Falls, Oregon",Butler Aviation Inc.,Douglas DC-7,N455SW,12,12,0
1979-09-14,"Near Sarroch, Italy",Aero Transporti Italiani,McDonnell Douglas DC-9-32,I-ATJC,31,31,0
1979-09-18,"Blink Horn Point, Canada",Pacific Coastal Airlines,Britten Norman BN-7A lslander,C-FZVV,4,9,0
1979-09-19,"Merced, California",Military - U.S. Air Force,Boeing KC-135A,58-0127,5,5,0
1979-09-30,"Porpoise Bay, British Columbia Canada",West Coast Air,de Havilland Canada DHC-6 Twin Otter 200,C-FWAF,2,16,0
1979-10-07,"Athens, Greece",Swissair,McDonnell Douglas DC-8-62,HB-IDE,14,156,0
1979-10-08,"Covington, Kentucky",Comair,Piper PA-31,N6642L,8,8,0
1979-10-27,"Lensk, Russia",Aeroflot,Antonov An-2TP,CCCP-32322,3,12,0
1979-10-31,"Mexico City, Mexico",Western Airlines,McDonnell Douglas DC-10-10,N903WA,72,88,1
1979-11-15,"Near Chicago, Illinois",American Airlines,Boeing B-727,?,0,78,0
1979-11-16,"Vologda, Russia",Aeroflot,Yakovlev YAK-40,CCCP-87454,3,5,0
1979-11-18,"Granger, Utah",Transamerica Airlines,Lockheed L-188CF Electra,N859U,3,3,0
1979-11-26,"Near At Ta'if, Jeddah, Saudi Arabia",Pakistan International Airlines,Boeing B-707-340C,AP-AWZ,156,156,0
1979-11-28,"Near Mt. Erebus, Ross Ice Shelf, Antarctica",Air New Zealand,McDonnell Douglas DC-10-30,ZK-NZP,257,257,0
1979-11-30,"San Andres Island, Colombia",Aerolineas La Gaviola,Grumman G-21 Goose,HK-2059,9,9,0
1979-12-09,"Cherskiy, Russia",Aeroflot,Antonov AN-26,CCCP-26547,7,7,0
1979-12-12,"Apolo, Bolivia",CAMBA,Martin 404,CP-1440,10,11,0
1979-12-18,"Cerro Toledo Mountain, Colombia",SATENA,Douglas DC-4 (C-54),FAC-1106,21,21,0
1979-12-22,"Near Puerto Esperanza, Peru",Fuerza Aérea del Peru,de Havilland Canada DHC-5 Buffalo,FAP-348,29,29,0
1979-12-23,"Ankara, Turkey",Turkish Airlines (THY),Fokker F-28 Fellowship 1000,TC-JAT,41,45,0
1979-12-23,"Menari, Papua New Guinea",Douglas Airways,GAF Nomad 22B,P2-DNL,16,16,0
1980-01-02,Haiti,Haïti Air Inter,Britten Norman BN Islander,HH-CNC,9,9,0
1980-01-11,Over the Atlantic Ocean,Private charter,Cessna 441 Conquest,N442NC,2,2,0
1980-01-14,"Shungnak, Alaska",Ambler Air Service,Cessna 185A,N1690Z,7,9,0
1980-01-21,"Elburz Mtns., near Tehran, Iran",Iran Air,Boeing B-727-86,EP-IRD,128,128,0
1980-01-23,"Mt. Cemonyet, Indonesia",Pelita Air Service,CASA 212 Aviocar 100,PK-PCX,13,13,0
1980-01-24,"Near Mandalay, Burma",Military - Union of Burma Air Force,Fairchild FH-227H,5003,43,44,0
1980-02-03,"Baracoa, Cuba",Cubana de Aviacon,Yakovlev YAK-40,CU-T1219,1,37,0
1980-02-21,"Leeville, Louisiana",Rotor Airs Inc - Air Taxi,Sikorsky S-62A,N442Y,6,7,0
1980-02-21,"Sydney, NSW, Australia",Advance Airlines,Beechcraft Super King Air 200,VH-AAV,13,13,0
1980-02-22,"Near Agra, India",Military - Indian Air Force,Fairchild C-119G,?,46,47,1
1980-02-27,"Manila, Philippines",China Airlines (Taiwan),Boeing B-707-309C,B-1826,2,135,0
1980-03-14,"Near Warsaw, Poland",LOT Polish Airlines,Ilyushin IL-62,SP-LAA,87,87,0
1980-03-14,"Near Yenice, Turkey",Military - U.S. Air Force,Lockheed C-130H,74-2064,18,18,0
1980-03-21,"Houston, Texas",Eagle Commuter,Piper PA-28-180,N55932,7,10,0
1980-03-21,"Off Macae, Brazil",VOTEC,Sikorsky S-76,PT-HKB,14,14,0
1980-04-12,"Florianopolis, Brazil",Transbrasil,Boeing B-727-27C,PT-TYS,55,58,0
1980-04-14,"Krasnoyarsk, Russia",Aeroflot,Antonov An-24B,CCCP-47732,2,53,0
1980-04-24,"Posht-i-Badam, Iran",Military - U.S. Air Force,Lockheed EC-130E Hercules,62-1809,5,7,0
1980-04-25,"Tenerife, Canary Islands",Dan Air Services,Boeing B-727-64,G-BDAN,146,146,0
1980-04-27,"Don Muang, Thailand",Thai Airways,Hawker Siddeley HS-748-2,HS-THB,44,53,0
1980-06-02,"Near Yachiba, Bolivia",Lloyd Aereo Boliviano,Fairchild F-27J,CP-1117,13,13,0
1980-06-08,"Near Matala, Angola",Lineas Aereas de Angola,Yakovlev YAK-40,D2-TYC,29,29,0
1980-06-12,"Near Dushanbe, Russia",Aeroflot,Yakovlev YAK-40,CCCP-87689,29,29,0
1980-06-12,"Valley, Nebraska",Air Wisconsin,Swearingen 226TC Metro II,N6505,13,15,0
1980-06-27,"Tyrrhenian Sea, off Ustica, Italy",Itavia,McDonnell Douglas DC-9-15,I-TIGI,81,81,0
1980-07-08,"Near Alma-Ata, Kazakhstan, USSR",Aeroflot,Tupolev TU-154B,CCCP-85355,166,166,0
1980-08-01,"Cerro Lilio, Mexico",Aeronaves del Peru,Douglas DC-8-43F,OB-R-1143,3,7,0
1980-08-06,"Houma, Louisiana",Air Logistics,Bell 205A-1 helicopter,N95AL,13,13,0
1980-08-07,"Nouadhibou, Mauretania",Tarom,Tupolev TU-154B-1,YR-TPH,1,168,0
1980-08-19,"Riyadh, Saudi Arabia",Saudi Arabian Airlines,Lockheed 1011-200 TriStar,HZ-AHK,301,301,0
1980-08-26,"Near Jakarta, Indonesia",Bouraq Indonesia Airlines,Vickers Viscount 812,PK-IVS,37,37,0
1980-09-05,"Near Montelimar, France",Military - Kuwait Air Force,Lockheed L-100-20 Hercules,KAF317,8,8,0
1980-09-10,"Puerto Olaya, Colombia",Aeronorte Colombia,Douglas C-47,HK-329,3,3,0
1980-09-12,"Off Freeport, Bahamas",Florida Commuter Airlines,Douglas DC-3,N75KW,34,34,0
1980-09-14,"Kindu, Zaire",Military - Force Aérienne Zaïroise,Lockheed Hercules C-130,9T-TCE,36,36,0
1980-09-15,"Near Medina, Saudi Arabia",Military - Royal Air Force,Lockheed C-130E,453,89,89,0
1980-09-17,"Near Kindu, Zaire",Military - Zairean Air Force,de Havilland DHC-5 Buffalo,9T-CBA,36,36,0
1980-09-30,"Badakshan, Afghanistan",Military - Soviet Air Force,Antonov AN-12V,CCCP-11104,45,45,0
1980-11-12,"Near Cairo, Egypt",Military - U.S. Air Force,Lockheed C-141A,67-0030,13,13,0
1980-11-19,"Seoul, South Korea",Korean Airlines,Boeing B-747-2B5B,HL-7445,15,226,0
1980-11-24,"Near Medellin, Colombia",F.R. de la Direccion General Ados,Douglas C-47A-35-DL,HK-1221G,20,20,0
1980-11-28,"Pecos City, Texas",Central Air Services,Douglas DC-7B,N816D,2,2,0
1980-12-05,"Dar es Salaam, Tanzania",Tanzania Aviation,Piper PA-42 Cheyenne,5H-TAL,10,10,0
1980-12-21,"Near Rio Hacha, Colombia",Transportes Aereos del Caribe,Aerospatiale Caravelle 6R,HK-1810,70,70,0
1980-12-23,"Qatar, Qatar",Saudi Arabian Airlines,Lockheed L-1011-200,HZ-AHJ,2,291,0
1981-01-14,"Ramstein AFB, West Germany",Military - U.S. Air Force,Lockheed C-130E Hercules,69-6581,11,11,0
1981-01-20,"Spokane, Washington",Cascade Airways,Beechcraft 99A,N390CA,7,9,0
1981-02-07,"Near Leningrad, Russia",Military - Soviet Navy,Tupolev TU-104A,CCCP-42332,52,52,0
1981-02-11,"White Plains, New York",Private - Corporate,Lockheed 1339,N520S,8,8,0
1981-02-22,"Avalon, California",Helicopter - Air Taxi,Sikorsky S-62A,N324Y,2,8,0
1981-02-24,"Belem, Brazil",VOTEC,Embraer 110P Bandeirante,PT-GLB,11,14,0
1981-02-26,Off Tabones Island Philippines,Military - U.S. Air Force,Lockheed MC-130E-Y,64-0564,23,24,0
1981-03-10,"Moroni, Comoro Islands",Military - French Naval Aviation,Dassault-Breguet Atlantique,29,18,18,0
1981-03-15,"Shemya AFB, Alaska",Military - U.S. Air Force,Boeing RC-135S,61-2664,6,24,0
1981-03-26,"Redzikowo, Poland",LOT Polish Airlines,Antonov AN-24B,SP-LTU,1,52,0
1981-04-06,"Laguna Soliz, Bolivia",Urcupina,Douglas C-47A,CP-1470,7,7,0
1981-04-07,"Cincinnati, Ohio",Freedom International,Learjet 23,N400PG,1,2,0
1981-04-17,"Loveland, Colorado",Air US / Private,Hadley Page 137Jetstream I / Cessna 206,N11360 N4862F,15,19,0
1981-04-28,"Pekanbaru, Indonesia",Private - Airfast Indonesia,Douglas C-47A-5-DK,PK-OBK,15,17,0
1981-04-28,"Batagay, Russia",Aeroflot,Antonov An-2TP,CCCP-92864,12,12,0
1981-05-06,"Near Fredrick, Maryland",Military - U.S. Air Force,Boeing EC-135N,61-0328,21,21,0
1981-05-07,"Rio de la Plata, Argentina",Austral Lineas Aeras (Argentina),BAC One-Eleven 529FR,LV-LOX,31,31,0
1981-05-16,"Near Menongue, Angola",TAAG Angola Airlines,Lockheed L-100-20 Hercules,D2-EAS,4,4,0
1981-05-21,"Pinarete Mountain, Mexico",Lineas Aereas,Convair CV-440-11,XA-KEH,24,24,0
1981-05-22,"Near Zumba, Ecuador",TAME,de Havilland Canada DHC-6 Twin Otter 300,HC-BAX,18,18,0
1981-05-29,"Cairo, Egypt",Military - Egyptian Air Force,Lockheed C-130H Hercules,SU-BAH,17,17,0
1981-06-14,"Ust-Barguzin, Russia",Aeroflot,Ilyushin Il-14,CCCP-41838,48,48,0
1981-06-26,"Nailstone, England",Dan Air Services,Hawker Siddeley HS-748,G-ASPL,3,3,0
1981-07-18,"Near Yerevan, Armenia",TAR,Canadair CL-44D4-6,LV-JTN,4,4,0
1981-07-20,"Mogadishu, Somalia",Somali Airlines,Fokker F-27 Friendship 600RF,6O-SAY,50,50,0
1981-07-24,Madagascar,Air Madagascar,de Havilland Canada DHC-6 Twin Otter 300,5R-MGB,19,19,0
1981-07-25,"Caruru, Colombia",Transamazonica,Douglas C-53D-DO,HK- 772,5,9,0
1981-07-27,"Chihuahua, Mexico",Aeromexico,McDonnell Douglas DC-9-32,XA-DEN,32,66,0
1981-08-22,"Near Sanyi, Miao-li, Taiwan",Far Eastern Air Transport,Boeing B-737-222,B-2603,110,110,0
1981-08-24,"Near Zavitinsk, Russia",Aeroflot / Military - Russian Air Force,Antonov AN-24RV / Soviet Air Force TU-16,CCCP-46653,31,32,0
1981-08-27,"Mt. Elena, Colombia",Aeropesca Colombia,Vickers Viscount 745D,HK-1320,50,50,0
1981-08-29,"Zeya, Russia",Aeroflot,Yakovlev YAK-40,CCCP-87346,3,34,0
1981-09-02,"Paipa, Colombia",Aereo el Venado,Embraer 110P1 Bandeirante,HK-2651,21,22,0
1981-09-18,"Zeleznogorsk, Russian",Aeroflot /Military - Russian,Yakovlev YAK-40 / Mil Mi-8,CCCP-87455,40,40,0
1981-09-21,"Nellis AFB, Nevada",Military - U.S. Air Force,Lockheed C-130H Hercules,74-1672,7,70,0
1981-09-22,"Near Babaeski, Turkey",Military - Turkish Air Force,Northrop F-5A,?,0,0,40
1981-09-29,"Tehran, Iran",Military - Iranian Air Force,Lockheed C-130H,5-158-8552,60,80,20
1981-10-01,"Casper, Wyoming",Sky Train Air,Learjet 24,N44CJ,3,3,0
1981-10-06,"Moerdijk, Netherlands",NLM (Nederlandse Luchtvaart Maatschappij),Fokker F-28 Fellowship 4000,PH-CHI,17,17,0
1981-10-15,"Kufstein, Austria",Oefag Flugdienst,Cessna 404 Titan,OE-FCT,9,9,0
1981-10-26,"St. Thomas, U.S. Virgin Islands",Aerolineas Argo,Lockheed L-749A Constellation,HI-328,5,5,0
1981-10-31,"Bafoussam, Cameroon",Cameroon Airlines,de Havilland Canada DHC-6 Twin Otter 300,TJ-CBC,1,24,0
1981-11-08,"Sierra de Guerro, Mexico",Aeromexico,McDonnell Douglas DC-9-32,XA-DEO,18,18,0
1981-11-16,"Norilsk, Russia",Aeroflot,Tupolev TU-154B-2,CCCP-85480,99,167,0
1981-11-19,"Biratnagar, Nepal",Royal Nepal Airlines,Pilatus PC-6/B2-H2 Turbo-Porter,9N-ABJ,10,10,0
1981-11-30,"Castries, Saint Lucia Island",Guyana Airways,Douglas DC-6A,N3486F,3,3,0
1981-12-01,"Mt. San Pietro, near Ajaccio, Corsica, France",Inex Adria Aviopromet (Yugoslavia),McDonnell Douglas MD-81,YU-ANA,180,180,0
1981-12-05,"Honolulu, Hawaii",Private - Parajump air show,Beech C-45H,N8185H,11,12,0
1981-12-16,"Kuala Belait, Brunei",Bristow Helicopters,Aerospatiale Puma,9M-SSC,12,12,0
1981-12-18,"Near Covenas, Colombia",ACES Colombia,de Havilland Canada DHC-6 Twin Otter 300,HK-2217,13,13,0
1982-01-07,"Near Gelendzhik, USSR",Aeroflot,LET 410M Turbojet,CCCP-67290,18,18,0
1982-01-13,"Washington, D.C.",Air Florida,Boeing B-737-222,N62AF,74,79,4
